CardNumber,Transaction_ID,Transaction_Amount,Transaction_Frequency,Time_of_Day,IP_Risk_Score,Device_Risk_Score,Account_Age_Days,Declined_Transactions,High_Risk_Country,Multiple_Logins_Different_IPs,Velocity_Transactions_24h,Unusual_Spending_Pattern,FraudIndicator,Fraud_Summary,text_for_embedding
4000223005401501,T100000,15895,2,20:15,0.46,0.62,1410,3,0,0,13,0,Not Fraud,Transaction of ₹15895 from card 4000223005401501 at 20:15   . Marked as Not Fraud.,4000223005401501 | T100000 | 15895 | 2 | 20:15 | 0.46 | 0.62 | 1410 | 3 | 0 | 0 | 13 | 0
4000911856239313,T100001,960,13,02:15,0.05,0.65,1642,4,0,0,6,0,Not Fraud,Transaction of ₹960 from card 4000911856239313 at 02:15   . Marked as Not Fraud.,4000911856239313 | T100001 | 960 | 13 | 02:15 | 0.05 | 0.65 | 1642 | 4 | 0 | 0 | 6 | 0
4000367469214295,T100002,76920,6,08:45,0.79,0.27,1816,4,0,0,8,1,Fraud,Transaction of ₹76920 from card 4000367469214295 at 08:45  with unusual spending . Marked as Fraud.,4000367469214295 | T100002 | 76920 | 6 | 08:45 | 0.79 | 0.27 | 1816 | 4 | 0 | 0 | 8 | 1
4000251282538206,T100003,54986,5,08:45,0.2,0.02,1796,1,0,0,6,0,Fraud,Transaction of ₹54986 from card 4000251282538206 at 08:45   . Marked as Fraud.,4000251282538206 | T100003 | 54986 | 5 | 08:45 | 0.2 | 0.02 | 1796 | 1 | 0 | 0 | 6 | 0
4000214832269481,T100004,6365,1,20:15,0.26,0.97,1132,2,0,0,2,0,Fraud,Transaction of ₹6365 from card 4000214832269481 at 20:15   . Marked as Fraud.,4000214832269481 | T100004 | 6365 | 1 | 20:15 | 0.26 | 0.97 | 1132 | 2 | 0 | 0 | 2 | 0
4000914655221101,T100005,82486,6,20:15,0.16,0.25,531,4,0,0,13,0,Fraud,Transaction of ₹82486 from card 4000914655221101 at 20:15   . Marked as Fraud.,4000914655221101 | T100005 | 82486 | 6 | 20:15 | 0.16 | 0.25 | 531 | 4 | 0 | 0 | 13 | 0
4000700832336208,T100006,37294,6,02:15,0.33,0.68,410,0,0,0,7,0,Not Fraud,Transaction of ₹37294 from card 4000700832336208 at 02:15   . Marked as Not Fraud.,4000700832336208 | T100006 | 37294 | 6 | 02:15 | 0.33 | 0.68 | 410 | 0 | 0 | 0 | 7 | 0
4000748913461122,T100007,87598,16,02:15,0.76,0.71,1995,1,1,0,2,0,Fraud,Transaction of ₹87598 from card 4000748913461122 at 02:15 from high-risk country  . Marked as Fraud.,4000748913461122 | T100007 | 87598 | 16 | 02:15 | 0.76 | 0.71 | 1995 | 1 | 1 | 0 | 2 | 0
4000136171878809,T100008,44231,4,20:15,0.52,0.61,1320,3,0,0,2,0,Not Fraud,Transaction of ₹44231 from card 4000136171878809 at 20:15   . Marked as Not Fraud.,4000136171878809 | T100008 | 44231 | 4 | 20:15 | 0.52 | 0.61 | 1320 | 3 | 0 | 0 | 2 | 0
4000198912225902,T100009,60363,11,00:30,0.2,0.31,818,3,0,0,2,0,Fraud,Transaction of ₹60363 from card 4000198912225902 at 00:30   . Marked as Fraud.,4000198912225902 | T100009 | 60363 | 11 | 00:30 | 0.2 | 0.31 | 818 | 3 | 0 | 0 | 2 | 0
4000354342113419,T100010,16123,9,08:45,0.88,0.27,1195,0,0,0,11,0,Fraud,Transaction of ₹16123 from card 4000354342113419 at 08:45   . Marked as Fraud.,4000354342113419 | T100010 | 16123 | 9 | 08:45 | 0.88 | 0.27 | 1195 | 0 | 0 | 0 | 11 | 0
4000763595448017,T100011,41190,3,16:00,0.88,0.6,1355,4,0,0,1,1,Fraud,Transaction of ₹41190 from card 4000763595448017 at 16:00  with unusual spending . Marked as Fraud.,4000763595448017 | T100011 | 41190 | 3 | 16:00 | 0.88 | 0.6 | 1355 | 4 | 0 | 0 | 1 | 1
4000714294294451,T100012,67321,19,02:15,0.87,0.87,493,1,0,0,14,1,Fraud,Transaction of ₹67321 from card 4000714294294451 at 02:15  with unusual spending . Marked as Fraud.,4000714294294451 | T100012 | 67321 | 19 | 02:15 | 0.87 | 0.87 | 493 | 1 | 0 | 0 | 14 | 1
